商品ID,商品コード,品番,ブランド,商品名,販売価格,定価,カラー,サイズ,仕入先,在庫数
12842,ke0032brw,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Brown,M,東京商会,3
12843,ke0032gry,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Gray,L,東京商会,2
12844,ke0032blk,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Black,XL,東京商会,2
12845,ke0032olv,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Olive,M,東京商会,2
12846,ke0032nvy,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Navy,L,東京商会,1
12847,ke0032ivr,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Ivory,M,東京商会,1
12848,ke0032brn,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Brown,L,東京商会,1
12849,ke0032gryx,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Gray,M,東京商会,1
12850,ke0032blkx,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Black,M,東京商会,1
12851,ke0032olxl,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Olive,XL,東京商会,1
12852,ke0032red,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Red,S,東京商会,1
12853,ke0032blu,KEL-0032,Kelen,Strata long T-shirt,15500,17600,Blue,M,東京商会,1
